Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
5539015.0,GPT-4,433,515,948,API log
5539015.0,GPT-4,228,423,651,API log
5539015.0,GPT-4,865,362,1227,API log
5539015.0,GPT-4,219,508,727,API log
5539015.0,GPT-4,286,608,894,API log
5539015.0,GPT-4,525,348,873,API log
5539015.0,GPT-4,615,444,1059,API log
5539015.0,GPT-4,601,627,1228,API log
5539015.0,GPT-4,470,515,985,API log
5539015.0,GPT-4,459,483,942,API log
5539024.0,GPT-4,804,268,1072,API log
5539024.0,GPT-4,1544,92,1636,API log
5539047.0,GPT-4,2002,11,2013,API log
5539047.0,GPT-4,1767,25,1792,API log
5539047.0,GPT-4,1038,36,1074,API log
5539047.0,GPT-4,1121,11,1132,API log
5539047.0,GPT-4,1167,25,1192,API log
5539047.0,GPT-4,1959,25,1984,API log
5539047.0,GPT-4,1502,25,1527,API log
5539047.0,GPT-4,1138,11,1149,API log
5539047.0,GPT-4,1221,11,1232,API log
5539047.0,GPT-4,1518,10,1528,API log
5539064.0,GPT-4,1100,11,1111,API log
5539064.0,GPT-4,1575,21,1596,API log
5539064.0,GPT-4,1159,11,1170,API log
5539064.0,GPT-4,1403,25,1428,API log
5539064.0,GPT-4,892,12,904,API log
5539064.0,GPT-4,1017,23,1040,API log
5539064.0,GPT-4,1390,21,1411,API log
5539064.0,GPT-4,2103,23,2126,API log
5539064.0,GPT-4,1456,11,1467,API log
5539064.0,GPT-4,2007,11,2018,API log
5539071.0,GPT-4,458,347,805,API log
5539071.0,GPT-4,367,529,896,API log
5539077.0,GPT-4,1443,24,1467,API log
5539077.0,GPT-4,1510,24,1534,API log
5539077.0,GPT-4,1223,11,1234,API log
5539077.0,GPT-4,1364,21,1385,API log
5539077.0,GPT-4,1328,11,1339,API log
5539077.0,GPT-4,1077,11,1088,API log
5539077.0,GPT-4,1213,24,1237,API log
5539077.0,GPT-4,1174,11,1185,API log
5539077.0,GPT-4,1184,11,1195,API log
5539077.0,GPT-4,1450,11,1461,API log
5539085.0,GPT-4,873,18,891,API log
5539085.0,GPT-4,1108,12,1120,API log
5539085.0,GPT-4,1495,11,1506,API log
5539085.0,GPT-4,1587,24,1611,API log
5539085.0,GPT-4,1479,11,1490,API log
5539085.0,GPT-4,1220,12,1232,API log
5539085.0,GPT-4,2129,11,2140,API log
5539085.0,GPT-4,1180,25,1205,API log
5539085.0,GPT-4,1440,49,1489,API log
5539085.0,GPT-4,1294,37,1331,API log
5539092.0,GPT-4,1538,23,1561,API log
5539092.0,GPT-4,1425,11,1436,API log
5539092.0,GPT-4,1527,11,1538,API log
5539092.0,GPT-4,1215,11,1226,API log
5539092.0,GPT-4,1498,11,1509,API log
5539092.0,GPT-4,1392,11,1403,API log
5539092.0,GPT-4,1157,24,1181,API log
5539092.0,GPT-4,1922,22,1944,API log
5539092.0,GPT-4,1418,11,1429,API log
5539092.0,GPT-4,1463,11,1474,API log
5539102.0,GPT-4,1328,11,1339,API log
5539102.0,GPT-4,1052,10,1062,API log
5539102.0,GPT-4,1011,11,1022,API log
5539102.0,GPT-4,1074,36,1110,API log
5539102.0,GPT-4,995,11,1006,API log
5539102.0,GPT-4,1414,11,1425,API log
5539102.0,GPT-4,1210,11,1221,API log
5539102.0,GPT-4,1391,11,1402,API log
5539102.0,GPT-4,1450,11,1461,API log
5539102.0,GPT-4,1426,11,1437,API log
5539108.0,GPT-4,1388,11,1399,API log
5539108.0,GPT-4,1535,25,1560,API log
5539108.0,GPT-4,1204,21,1225,API log
5539108.0,GPT-4,1309,23,1332,API log
5539108.0,GPT-4,1131,37,1168,API log
5539108.0,GPT-4,719,11,730,API log
5539108.0,GPT-4,929,11,940,API log
5539108.0,GPT-4,1784,11,1795,API log
5539108.0,GPT-4,1161,11,1172,API log
5539108.0,GPT-4,2194,23,2217,API log
5539118.0,GPT-4,1985,11,1996,API log
5539118.0,GPT-4,735,409,1144,API log
5539118.0,GPT-4,626,301,927,API log
5539118.0,GPT-4,561,124,685,API log
5539118.0,GPT-4,758,322,1080,API log
5539118.0,GPT-4,2425,23,2448,API log
5539118.0,GPT-4,1382,24,1406,API log
5539118.0,GPT-4,1144,11,1155,API log
5539118.0,GPT-4,1787,24,1811,API log
5539118.0,GPT-4,2207,21,2228,API log
5539118.0,GPT-4,558,392,950,API log
5539121.0,GPT-4,1464,24,1488,API log
5539121.0,GPT-4,1767,32,1799,API log
5539121.0,GPT-4,710,314,1024,API log
5539121.0,GPT-4,1084,151,1235,API log
5539121.0,GPT-4,750,553,1303,API log
5539121.0,GPT-4,1058,17,1075,API log
5539121.0,GPT-4,579,417,996,API log
5539121.0,GPT-4,956,287,1243,API log
5539121.0,GPT-4,1477,11,1488,API log
5539146.0,GPT-4,1378,11,1389,API log
5539146.0,GPT-4,1412,43,1455,API log
5539146.0,GPT-4,1259,11,1270,API log
5539146.0,GPT-4,1404,11,1415,API log
5539146.0,GPT-4,1015,11,1026,API log
5539146.0,GPT-4,1920,12,1932,API log
5539146.0,GPT-4,1365,36,1401,API log
5539146.0,GPT-4,1305,11,1316,API log
5539146.0,GPT-4,1984,33,2017,API log
5539146.0,GPT-4,1148,11,1159,API log
5539154.0,GPT-4,1183,11,1194,API log
5539154.0,GPT-4,1608,11,1619,API log
5539154.0,GPT-4,1022,11,1033,API log
5539154.0,GPT-4,961,11,972,API log
5539154.0,GPT-4,1722,11,1733,API log
5539154.0,GPT-4,1609,11,1620,API log
5539154.0,GPT-4,1184,11,1195,API log
5539154.0,GPT-4,1050,11,1061,API log
5539154.0,GPT-4,982,48,1030,API log
5539154.0,GPT-4,1298,11,1309,API log
5539166.0,GPT-4,1173,11,1184,API log
5539166.0,GPT-4,1436,11,1447,API log
5539166.0,GPT-4,1875,23,1898,API log
5539166.0,GPT-4,2049,11,2060,API log
5539166.0,GPT-4,1000,11,1011,API log
5539166.0,GPT-4,1402,11,1413,API log
5539166.0,GPT-4,2181,24,2205,API log
5539166.0,GPT-4,1407,11,1418,API log
5539166.0,GPT-4,1184,11,1195,API log
5539166.0,GPT-4,2192,11,2203,API log
5539178.0,GPT-4,558,377,935,API log
5539184.0,GPT-4,1194,21,1215,API log
5539184.0,GPT-4,1164,11,1175,API log
5539184.0,GPT-4,1236,24,1260,API log
5539184.0,GPT-4,1302,35,1337,API log
5539184.0,GPT-4,1382,36,1418,API log
5539184.0,GPT-4,1032,11,1043,API log
5539184.0,GPT-4,1637,11,1648,API log
5539184.0,GPT-4,932,11,943,API log
5539184.0,GPT-4,1210,11,1221,API log
5539184.0,GPT-4,1261,10,1271,API log
5539190.0,GPT-4,1030,11,1041,API log
5539191.0,GPT-4,1673,24,1697,API log
5539191.0,GPT-4,2104,11,2115,API log
5539191.0,GPT-4,1053,11,1064,API log
5539191.0,GPT-4,1195,11,1206,API log
5539191.0,GPT-4,1333,36,1369,API log
5539191.0,GPT-4,1180,35,1215,API log
5539191.0,GPT-4,1186,23,1209,API log
5539191.0,GPT-4,1240,23,1263,API log
5539191.0,GPT-4,1897,11,1908,API log
5539201.0,GPT-4,1580,25,1605,API log
5539201.0,GPT-4,708,12,720,API log
5539201.0,GPT-4,650,11,661,API log
5539201.0,GPT-4,1243,11,1254,API log
5539201.0,GPT-4,1579,36,1615,API log
5539201.0,GPT-4,876,11,887,API log
5539201.0,GPT-4,714,25,739,API log
5539201.0,GPT-4,1867,11,1878,API log
5539201.0,GPT-4,1278,11,1289,API log
5539201.0,GPT-4,865,25,890,API log
5539207.0,GPT-4,1651,24,1675,API log
5539207.0,GPT-4,1061,11,1072,API log
5539207.0,GPT-4,2131,50,2181,API log
5539207.0,GPT-4,1091,11,1102,API log
5539207.0,GPT-4,1520,62,1582,API log
5539207.0,GPT-4,1262,31,1293,API log
5539207.0,GPT-4,1397,11,1408,API log
5539207.0,GPT-4,1096,13,1109,API log
5539207.0,GPT-4,1619,11,1630,API log
5539207.0,GPT-4,1069,11,1080,API log
5539218.0,GPT-4,1009,11,1020,API log
5539218.0,GPT-4,1077,11,1088,API log
5539218.0,GPT-4,1076,24,1100,API log
5539218.0,GPT-4,1329,11,1340,API log
5539218.0,GPT-4,1232,35,1267,API log
5539218.0,GPT-4,1315,11,1326,API log
5539218.0,GPT-4,1031,11,1042,API log
5539218.0,GPT-4,1026,11,1037,API log
5539218.0,GPT-4,1119,11,1130,API log
5539218.0,GPT-4,1847,10,1857,API log
5539231.0,GPT-4,760,287,1047,API log
5539231.0,GPT-4,632,512,1144,API log
5539231.0,GPT-4,771,449,1220,API log
5539231.0,GPT-4,663,580,1243,API log
5539231.0,GPT-4,1021,325,1346,API log
5539231.0,GPT-4,800,525,1325,API log
5539231.0,GPT-4,835,176,1011,API log
5539231.0,GPT-4,591,108,699,API log
5539231.0,GPT-4,971,217,1188,API log
5539231.0,GPT-4,847,226,1073,API log
5539232.0,GPT-4,1121,24,1145,API log
5539232.0,GPT-4,1139,37,1176,API log
5539232.0,GPT-4,1201,11,1212,API log
5539232.0,GPT-4,1639,22,1661,API log
5539232.0,GPT-4,1138,49,1187,API log
5539232.0,GPT-4,1185,47,1232,API log
5539232.0,GPT-4,1228,11,1239,API log
5539232.0,GPT-4,984,11,995,API log
5539232.0,GPT-4,907,11,918,API log
5539232.0,GPT-4,1222,11,1233,API log
5539242.0,GPT-4,1015,11,1026,API log
5539242.0,GPT-4,1101,11,1112,API log
5539242.0,GPT-4,2315,11,2326,API log
5539242.0,GPT-4,1298,33,1331,API log
5539242.0,GPT-4,2187,22,2209,API log
5539242.0,GPT-4,930,11,941,API log
5539242.0,GPT-4,1068,11,1079,API log
5539242.0,GPT-4,2120,11,2131,API log
5539242.0,GPT-4,1172,11,1183,API log
5539242.0,GPT-4,2033,11,2044,API log
5539260.0,GPT-4,1788,23,1811,API log
5539260.0,GPT-4,1248,11,1259,API log
5539260.0,GPT-4,1318,11,1329,API log
5539260.0,GPT-4,1231,11,1242,API log
5539260.0,GPT-4,1231,25,1256,API log
5539260.0,GPT-4,1165,21,1186,API log
5539260.0,GPT-4,1194,36,1230,API log
5539260.0,GPT-4,1430,11,1441,API log
5539260.0,GPT-4,1110,11,1121,API log
5539260.0,GPT-4,1298,11,1309,API log
5539265.0,GPT-4,1038,12,1050,API log
