Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
10428439.0,GPT-4,460,276,736,API log
10428768.0,GPT-4,160,226,386,Conversation log
10429000.0,GPT-4,70,115,185,Conversation log
10429056.0,GPT-4,116,443,559,API log
10429080.0,GPT-4,429,50,479,API log
10429089.0,GPT-4,482,116,598,API log
6848896.0,GPT-4,620,341,961,API log
6848896.0,GPT-4,444,373,817,API log
6848896.0,GPT-4,395,12,407,API log
6848954.0,GPT-4,362,323,685,API log
6848954.0,GPT-4,532,484,1016,API log
6848954.0,GPT-4,448,366,814,API log
6134993.0,GPT-4,474,134,608,API log
6134993.0,GPT-4,526,4,530,API log
6134993.0,GPT-4,250,34,284,API log
6134993.0,GPT-4,400,55,455,API log
6134993.0,GPT-4,529,83,612,API log
6134993.0,GPT-4,365,41,406,API log
9834966.0,GPT-4,176,295,471,API log
9834969.0,GPT-4,47,727,774,Conversation log
9835007.0,GPT-4,176,371,547,API log
9835048.0,GPT-4,569,59,628,API log
9835069.0,GPT-4,176,438,614,API log
9835108.0,GPT-4,176,356,532,API log
