Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
5539015.0,GPT-4,433,515,948,API log
5539015.0,GPT-4,470,515,985,API log
5539024.0,GPT-4,1544,92,1636,API log
5539047.0,GPT-4,1038,36,1074,API log
5539047.0,GPT-4,1167,25,1192,API log
5539047.0,GPT-4,1138,11,1149,API log
5539064.0,GPT-4,1403,25,1428,API log
5539064.0,GPT-4,1390,21,1411,API log
5539064.0,GPT-4,2103,23,2126,API log
5539071.0,GPT-4,458,347,805,API log
5539077.0,GPT-4,1364,21,1385,API log
5539085.0,GPT-4,1108,12,1120,API log
5539085.0,GPT-4,1495,11,1506,API log
5539085.0,GPT-4,1440,49,1489,API log
5539092.0,GPT-4,1527,11,1538,API log
5539092.0,GPT-4,1498,11,1509,API log
5539092.0,GPT-4,1463,11,1474,API log
5539102.0,GPT-4,1391,11,1402,API log
5539102.0,GPT-4,1450,11,1461,API log
5539108.0,GPT-4,1388,11,1399,API log
5539108.0,GPT-4,1131,37,1168,API log
5539118.0,GPT-4,1985,11,1996,API log
5539118.0,GPT-4,735,409,1144,API log
5539118.0,GPT-4,561,124,685,API log
5539118.0,GPT-4,2425,23,2448,API log
5539118.0,GPT-4,1144,11,1155,API log
5539121.0,GPT-4,1084,151,1235,API log
5539121.0,GPT-4,1058,17,1075,API log
5539146.0,GPT-4,1412,43,1455,API log
5539154.0,GPT-4,1183,11,1194,API log
5539154.0,GPT-4,982,48,1030,API log
5539166.0,GPT-4,1173,11,1184,API log
5539166.0,GPT-4,2049,11,2060,API log
5539184.0,GPT-4,932,11,943,API log
5539191.0,GPT-4,2104,11,2115,API log
5539191.0,GPT-4,1195,11,1206,API log
5539191.0,GPT-4,1180,35,1215,API log
5539191.0,GPT-4,1240,23,1263,API log
5539191.0,GPT-4,1897,11,1908,API log
5539201.0,GPT-4,708,12,720,API log
5539207.0,GPT-4,1651,24,1675,API log
5539207.0,GPT-4,1061,11,1072,API log
5539207.0,GPT-4,2131,50,2181,API log
5539207.0,GPT-4,1091,11,1102,API log
5539207.0,GPT-4,1619,11,1630,API log
5539207.0,GPT-4,1069,11,1080,API log
5539218.0,GPT-4,1009,11,1020,API log
5539218.0,GPT-4,1232,35,1267,API log
5539231.0,GPT-4,1021,325,1346,API log
5539232.0,GPT-4,1121,24,1145,API log
5539232.0,GPT-4,1639,22,1661,API log
5539232.0,GPT-4,1228,11,1239,API log
5539242.0,GPT-4,1015,11,1026,API log
5539242.0,GPT-4,2187,22,2209,API log
5539242.0,GPT-4,2033,11,2044,API log
5539260.0,GPT-4,1788,23,1811,API log
5539260.0,GPT-4,1194,36,1230,API log
5539260.0,GPT-4,1298,11,1309,API log
5539265.0,GPT-4,1154,11,1165,API log
5539265.0,GPT-4,1164,22,1186,API log
5539265.0,GPT-4,1145,49,1194,API log
5539276.0,GPT-4,1538,24,1562,API log
5539286.0,GPT-4,1245,21,1266,API log
5539286.0,GPT-4,1132,11,1143,API log
5539291.0,GPT-4,800,460,1260,API log
5539291.0,GPT-4,632,358,990,API log
5539293.0,GPT-4,1393,11,1404,API log
5539293.0,GPT-4,1408,21,1429,API log
5539293.0,GPT-4,1093,11,1104,API log
5539308.0,GPT-4,1070,21,1091,API log
5539326.0,GPT-4,1063,295,1358,API log
5539351.0,GPT-4,632,319,951,API log
5539381.0,GPT-4,959,349,1308,API log
5539381.0,GPT-4,833,453,1286,API log
5539397.0,GPT-4,804,163,967,API log
5539397.0,GPT-4,907,480,1387,API log
5539397.0,GPT-4,1189,267,1456,API log
5539441.0,GPT-4,959,230,1189,API log
5539462.0,GPT-4,1306,371,1677,API log
5539462.0,GPT-4,1270,378,1648,API log
5539481.0,GPT-4,920,551,1471,API log
5539481.0,GPT-4,626,432,1058,API log
5539481.0,GPT-4,845,381,1226,API log
5539522.0,GPT-4,1385,331,1716,API log
5539582.0,GPT-4,1385,242,1627,API log
5539599.0,GPT-4,1421,157,1578,API log
5539599.0,GPT-4,1161,64,1225,API log
5539601.0,GPT-4,845,238,1083,API log
5539619.0,GPT-4,768,215,983,API log
5539619.0,GPT-4,887,372,1259,API log
5539648.0,GPT-4,1132,219,1351,API log
5539648.0,GPT-4,1042,158,1200,API log
5539648.0,GPT-4,846,421,1267,API log
5539698.0,GPT-4,1863,374,2237,API log
5539708.0,GPT-4,867,138,1005,API log
5539734.0,GPT-4,1108,500,1608,API log
5539734.0,GPT-4,756,427,1183,API log
5539734.0,GPT-4,890,221,1111,API log
5539734.0,GPT-4,1019,389,1408,API log
5539742.0,GPT-4,1391,394,1785,API log
5539742.0,GPT-4,1367,467,1834,API log
5539789.0,GPT-4,1255,655,1910,API log
5539789.0,GPT-4,791,414,1205,API log
5539802.0,GPT-4,1367,282,1649,API log
5539849.0,GPT-4,672,340,1012,API log
5539849.0,GPT-4,959,574,1533,API log
5539856.0,GPT-4,1250,425,1675,API log
5539856.0,GPT-4,660,412,1072,API log
5539909.0,GPT-4,959,461,1420,API log
