local_idx,full_window_idx,source_csv_idx,timestamp,native_time_s,replay_time_s,interarrival_replay_s,input_tokens,output_tokens,total_tokens
0,0,473566,5539015.000,0.000000,0.000000,0.000000,433,515,948
1,8,473574,5539015.000,0.000000,0.000000,0.000000,470,515,985
2,11,473585,5539024.000,9.000000,2.013423,2.013423,1544,92,1636
3,14,473603,5539047.000,32.000000,7.158837,5.145414,1038,36,1074
4,16,473605,5539047.000,32.000000,7.158837,0.000000,1167,25,1192
5,19,473608,5539047.000,32.000000,7.158837,0.000000,1138,11,1149
6,25,473622,5539064.000,49.000000,10.961969,3.803132,1403,25,1428
7,28,473625,5539064.000,49.000000,10.961969,0.000000,1390,21,1411
8,29,473626,5539064.000,49.000000,10.961969,0.000000,2103,23,2126
9,32,473635,5539071.000,56.000000,12.527964,1.565996,458,347,805
10,37,473652,5539077.000,62.000000,13.870246,1.342282,1364,21,1385
11,45,473677,5539085.000,70.000000,15.659955,1.789709,1108,12,1120
12,46,473678,5539085.000,70.000000,15.659955,0.000000,1495,11,1506
13,52,473685,5539085.000,70.000000,15.659955,0.000000,1440,49,1489
14,56,473706,5539092.000,77.000000,17.225951,1.565996,1527,11,1538
15,58,473709,5539092.000,77.000000,17.225951,0.000000,1498,11,1509
16,63,473717,5539092.000,77.000000,17.225951,0.000000,1463,11,1474
17,71,473749,5539102.000,87.000000,19.463087,2.237136,1391,11,1402
18,72,473750,5539102.000,87.000000,19.463087,0.000000,1450,11,1461
19,74,473765,5539108.000,93.000000,20.805369,1.342282,1388,11,1399
20,78,473770,5539108.000,93.000000,20.805369,0.000000,1131,37,1168
21,84,473801,5539118.000,103.000000,23.042506,2.237136,1985,11,1996
22,85,473802,5539118.000,103.000000,23.042506,0.000000,735,409,1144
23,87,473804,5539118.000,103.000000,23.042506,0.000000,561,124,685
24,89,473807,5539118.000,103.000000,23.042506,0.000000,2425,23,2448
25,91,473810,5539118.000,103.000000,23.042506,0.000000,1144,11,1155
26,98,473826,5539121.000,106.000000,23.713647,0.671141,1084,151,1235
27,100,473828,5539121.000,106.000000,23.713647,0.000000,1058,17,1075
28,105,473886,5539146.000,131.000000,29.306488,5.592841,1412,43,1455
29,114,473910,5539154.000,139.000000,31.096197,1.789709,1183,11,1194
30,122,473921,5539154.000,139.000000,31.096197,0.000000,982,48,1030
31,124,473951,5539166.000,151.000000,33.780761,2.684564,1173,11,1184
32,127,473954,5539166.000,151.000000,33.780761,0.000000,2049,11,2060
33,142,474004,5539184.000,169.000000,37.807606,4.026846,932,11,943
34,147,474027,5539191.000,176.000000,39.373602,1.565996,2104,11,2115
35,149,474029,5539191.000,176.000000,39.373602,0.000000,1195,11,1206
36,151,474033,5539191.000,176.000000,39.373602,0.000000,1180,35,1215
37,153,474035,5539191.000,176.000000,39.373602,0.000000,1240,23,1263
38,154,474036,5539191.000,176.000000,39.373602,0.000000,1897,11,1908
39,156,474051,5539201.000,186.000000,41.610738,2.237136,708,12,720
40,165,474066,5539207.000,192.000000,42.953020,1.342282,1651,24,1675
41,166,474067,5539207.000,192.000000,42.953020,0.000000,1061,11,1072
42,167,474068,5539207.000,192.000000,42.953020,0.000000,2131,50,2181
43,168,474069,5539207.000,192.000000,42.953020,0.000000,1091,11,1102
44,173,474075,5539207.000,192.000000,42.953020,0.000000,1619,11,1630
45,174,474076,5539207.000,192.000000,42.953020,0.000000,1069,11,1080
46,175,474098,5539218.000,203.000000,45.413870,2.460850,1009,11,1020
47,179,474102,5539218.000,203.000000,45.413870,0.000000,1232,35,1267
48,189,474151,5539231.000,216.000000,48.322148,2.908277,1021,325,1346
49,195,474158,5539232.000,217.000000,48.545861,0.223714,1121,24,1145
50,198,474162,5539232.000,217.000000,48.545861,0.000000,1639,22,1661
51,201,474166,5539232.000,217.000000,48.545861,0.000000,1228,11,1239
